"","word","spaced_word"
"344","찾아봤었는데오늘","찾아봤었는데 오늘"
"345","제시엉덩이","제시엉덩이"
"346","엉덩이수술","엉덩이 수술"
"347","뜨더라찰나이긴","뜨더라 찰나이긴"
"348","않겠지진짜","않겠지 진짜"
"349","안잡은건데밥","안 잡은 건데 밥"
"350","오빠새끼","오빠 새끼"
"351","가정형편","가정형편"
"352","쳐박혀서","쳐박혀서"
"353","생일선물","생일선물"
"354","뭐사줘야하냐고","뭐 사줘야 하냐고"
"355","물어보면서엄아빠한테","물어보면서 엄 아빠한테"
"356","있는지진짜","있는 지 진짜"
"357","욕나온다오늘","욕 나온 다 오늘"
"358","스마트폰","스마트폰"
"359","20만원","20만원"
"360","폴더폰으로","폴더폰으로"
"361","어떠냐고","어떠냐고"
"362","스마트폰","스마트폰"
"363","스마트폰을","스마트폰을"
"364","개소리더라진짜내가","개소 리더라진짜 내가"
"365","답답해서","답답해서"
"366","취준하기","취준하기"
"367","말을하라고","말을 하라고"
"368","취준하기","취준하기"
"369","유튜브로","유튜브로"
"370","실실쪼개는데","실실 쪼개는 데"
"371","싶어너무","싶어 너무"
"372","손절하고","손절하고"
"373","안엮기면서","안 엮기면서"
"374","싫다주위에","싫다 주위에"
"375","목사님자녀들","목사님 자녀들"
"376","믿음생활","믿음생활"
"377","부모님들","부모님들"
"378","자괴감들","자괴감들"
"379","가정환경","가정환경"
"380","싫다너네들은","싫 다 너네들은"
"381","모르겠지괜히","모르겠지 괜히"
"382","그런애들이","그런 애들이"
"383","화가난다이런","화가 난 다 이런"
"384","힘들어도아무에게도","힘들어도 아무에게도"
"385","없은거같네난","없은 거 같네난"
"386","학자금대출","학자금 대출"
"387","우울해진다한거에","우울해진다 한 거에"
"388","쌓였고미래에","쌓였고 미래에"
"389","이걸갚는거","이걸 갚는 거"
"390","챙기며살아갈","챙기며 살아갈"
"391","모르겠다부모님이랑","모르겠다 부모님이랑"
"392","부모님주변사람들","부모님 주변 사람들"
"393","생활력넘치다고어떻게든","생활력 넘치다고 어떻게든"
"394","알바하며","알바하며"
"395","용돈벌어쓴다고기특하다하는데어떻게단","용돈 벌어 쓴다고 기특하다 하는데 어떻게 단"
"396","이렇게된건데어떤이유로","이렇게 된 건데 어떤 이유로"
"397","알바하며","알바하며"
"398","지내는건지알기는할지","지내는 건지 알기는 할지"
"399","집왔는데","집 왔는데"
"400","싸운다지친다","싸운다 지친다"
"401","휴학해서","휴학해서"
"402","관계때문","관계 때문"
"403","스트레스","스트레스"
"404","그사이에서","그 사이에서"
"405","돌아오는건","돌아오는 건"
"406","서운해하고제가","서운해하고 제가"
"407","부부관계","부부관계"
"408","신경안쓰면","신경안 쓰면"
"409","수업이번학기","수업이번 학기"
"410","많음시간뺏는","많음 시간 뺏는"
"411","동아리덕분","동아리 덕분"
"412","어떤날은","어떤 날은"
"413","잠못자니까","잠 못 자니까"
"414","개인시간","개인 시간"
"415","1차적으로","1차적으로"
"416","잘못이긴하지만","잘못이긴 하지만"
"417","병날것같","병날 것같"
"418","스트레스","스트레스"
"419","받는다이럴","받는 다이럴"
